578;403
598;4961
600;4021
601;924
625;6083
630;1729
645;17445
648;8780
650;40820
660;8271
662;415
668;959
684;12792
704;614
725;12882
740;2257
760;27338
765;22836
770;7718
776;2016
800;500
808;199
810;345
820;8906
830;464
834;317
840;6818
848;38271
860;19055
870;30341
875;991
880;4764
887;126
890;3598
900;76278
901;24323
908;743
910;330
920;44174
926;10283
940;3834
945;2199
950;689
960;13120
970;10803
980;27800
984;5419
987;1712
988;7268
996;7771
998;480
1000;58652
1004;14603
1012;13195
1016;44636
1020;13175
1025;654
1032;20162
1034;12875
1040;10837
1042;3637
1043;2301
1046;13380
1047;12028
1048;7011
1050;14146
1064;1004
1070;5812
1085;413
1090;4599
1095;92169
1100;6361
1110;12814
1112;1136
1115;11736
1116;249
1118;901
1120;135
1127;2723
1130;3753
1136;177
1140;19549
1160;7023
1164;7725
1170;1023
1172;52201
1176;37253
1180;5642
